year,mon,dy,hr,minutes,seconds,lon,lat,dep,mag,evid
2012,3,8,18,50,10.78,122.5163,24.1370,47.68,3.00,15081849.P12
2012,3,8,21,7,46.82,122.4792,24.9523,15.51,3.94,15082107.P12
2012,3,9,0,4,48.49,120.7422,22.7248,23.41,4.07,15090004.P12
2012,3,9,5,25,55.44,122.3087,24.8378,6.07,3.30,15090525.P12
2012,3,9,16,44,41.49,121.3772,22.1683,19.41,3.87,15091644.P12
2012,3,9,19,18,0.78,122.4052,24.9160,16.37,3.08,15091916.P12
2012,3,9,21,1,29.78,121.8398,24.8303,100.28,3.02,15092100.P12
2012,3,10,6,37,6.16,122.1362,24.9035,93.76,3.47,15100637.P12
2012,3,10,18,54,11.08,121.8837,24.7970,9.88,3.69,15101853.P12
2012,3,10,23,24,19.06,121.4330,22.6523,95.80,3.43,15102324.P12
2012,3,11,1,56,16.03,121.4158,23.7835,28.06,3.36,15110156.P12
2012,3,12,12,50,12.39,122.1465,21.1957,157.71,3.29,15121250.P12
2012,3,12,13,45,12.54,122.6488,24.4927,82.41,3.08,15121345.P12
2012,3,12,20,5,50.33,121.3685,22.1410,14.71,3.70,15122005.P12
2012,3,12,23,44,29.22,122.9577,24.4423,93.06,3.71,15122344.P12
2012,3,13,2,40,3.73,120.8680,21.9775,30.54,3.00,15130239.P12
2012,3,13,17,52,22.29,121.7312,23.9397,51.93,3.51,15131752.P12
2012,3,13,20,34,6.89,121.0282,22.4017,11.52,3.29,15132032.P12
2012,3,14,3,50,57.66,122.2537,24.1912,46.68,3.19,15140350.P12
2012,3,14,9,29,3.51,121.4802,22.0908,25.51,3.43,15140928.P12
2012,3,14,17,59,28.01,121.7085,24.3640,18.05,3.10,15141757.P12
2012,3,15,4,36,55.07,121.8098,25.0573,115.48,3.11,15150436.P12
2012,3,15,15,30,30.71,120.9037,21.6363,17.04,3.35,15151530.P12
2012,3,15,22,28,50.03,121.9752,24.8055,75.75,3.33,15152228.P12
2012,3,16,5,39,43.47,122.7132,24.7830,107.35,4.15,15160539.P12
2012,3,16,16,48,40.99,122.3397,24.3862,55.79,3.05,15161648.P12
2012,3,17,5,30,21.46,121.0052,22.0610,18.23,3.43,15170529.P12
2012,3,17,21,29,30.67,122.3267,24.9777,135.23,4.07,15172128.P12
2012,3,18,5,45,46.04,121.8880,24.8722,97.34,3.10,15180545.P12
2012,3,18,8,5,47.17,121.5672,23.7212,37.41,3.02,15180805.P12
2012,3,18,11,58,10.12,122.2373,24.7797,96.52,4.75,15181157.P12
2012,3,18,13,7,18.79,122.6775,24.0852,35.56,3.54,15181306.P12
2012,3,18,15,58,15.45,119.7295,21.7685,58.84,4.62,15181557.P12
2012,3,18,22,38,43.11,121.0123,22.5702,16.02,3.46,15182238.P12
